,len_warm,avg_warm_temp,highest_warm,lowest_warm,len_cold,avg_cold_temp,lowest_cold,highest_cold,seasonal_var,len_clearer,clear,len_cloudy,cloudy,shortest_day,longest_day
83,3.6 months,65°F,74°F,56°F,3.8 months,39°F,20°F,30°F,significant,6.1 months,57%,6.1 months,57%,"7 hours, 11 minutes","17 hours, 21 minutes"
84,3.2 months,65°F,72°F,56°F,3.9 months,45°F,30°F,39°F,significant,6.5 months,57%,6.5 months,57%,"7 hours, 18 minutes","17 hours, 13 minutes"
85,3.2 months,70°F,77°F,57°F,3.6 months,47°F,30°F,42°F,significant,6.4 months,58%,6.4 months,58%,"8 hours, 1 minute","16 hours, 26 minutes"
86,3.5 months,74°F,83°F,65°F,3.5 months,48°F,28°F,39°F,extreme,3.9 months,89%,3.9 months,89%,"8 hours, 52 minutes","15 hours, 31 minutes"
87,3.8 months,68°F,78°F,59°F,3.2 months,41°F,23°F,32°F,significant,4.4 months,68%,4.4 months,68%,"8 hours, 16 minutes","16 hours, 10 minutes"
88,3.5 months,68°F,76°F,57°F,3.5 months,42°F,23°F,34°F,significant,5.5 months,61%,5.5 months,61%,"8 hours, 4 minutes","16 hours, 23 minutes"
89,3.1 months,69°F,76°F,57°F,3.7 months,49°F,32°F,43°F,significant,6.6 months,57%,6.6 months,57%,"7 hours, 55 minutes","16 hours, 32 minutes"
90,3.0 months,71°F,78°F,58°F,3.7 months,52°F,35°F,47°F,significant,4.9 months,64%,4.9 months,64%,"8 hours, 22 minutes","16 hours, 3 minutes"
91,3.0 months,63°F,68°F,54°F,4.0 months,48°F,35°F,44°F,significant,5.2 months,54%,5.2 months,54%,"7 hours, 25 minutes","17 hours, 6 minutes"
92,2.8 months,65°F,70°F,55°F,4.0 months,49°F,35°F,44°F,significant,5.6 months,56%,5.6 months,56%,"7 hours, 38 minutes","16 hours, 52 minutes"
93,3.2 months,69°F,77°F,58°F,3.7 months,46°F,29°F,39°F,significant,6.2 months,57%,6.2 months,57%,"7 hours, 51 minutes","16 hours, 37 minutes"
94,3.0 months,70°F,77°F,60°F,3.6 months,51°F,35°F,47°F,significant,4.1 months,69%,4.1 months,69%,"8 hours, 40 minutes","15 hours, 44 minutes"
95,3.1 months,78°F,83°F,66°F,3.6 months,63°F,47°F,58°F,significant,3.3 months,92%,3.3 months,92%,"9 hours, 27 minutes","14 hours, 53 minutes"
96,3.1 months,63°F,68°F,56°F,4.0 months,49°F,37°F,45°F,significant,5.4 months,55%,5.4 months,55%,"7 hours, 29 minutes","17 hours, 1 minute"
97,3.0 months,68°F,74°F,58°F,3.7 months,48°F,33°F,42°F,significant,6.6 months,56%,6.6 months,56%,"7 hours, 58 minutes","16 hours, 29 minutes"
98,3.3 months,72°F,81°F,59°F,3.3 months,47°F,26°F,38°F,significant,3.7 months,70%,3.7 months,70%,"8 hours, 38 minutes","15 hours, 46 minutes"
99,3.0 months,75°F,82°F,62°F,3.6 months,51°F,33°F,44°F,significant,3.5 months,70%,3.5 months,70%,"8 hours, 40 minutes","15 hours, 43 minutes"
100,3.3 months,66°F,73°F,56°F,3.9 months,45°F,29°F,39°F,significant,6.5 months,55%,6.5 months,55%,"7 hours, 24 minutes","17 hours, 7 minutes"
101,2.9 months,83°F,92°F,64°F,3.7 months,58°F,33°F,50°F,significant,3.0 months,88%,3.0 months,88%,"9 hours, 17 minutes","15 hours, 4 minutes"
102,3.4 months,69°F,76°F,56°F,3.8 months,46°F,29°F,39°F,significant,6.4 months,56%,6.4 months,56%,"7 hours, 43 minutes","16 hours, 46 minutes"
103,3.2 months,70°F,78°F,59°F,3.6 months,47°F,31°F,41°F,significant,6.4 months,60%,6.4 months,60%,"8 hours, 5 minutes","16 hours, 22 minutes"
104,3.1 months,64°F,71°F,56°F,4.0 months,43°F,29°F,36°F,significant,6.1 months,57%,6.1 months,57%,"7 hours, 2 minutes","17 hours, 31 minutes"
105,3.4 months,64°F,69°F,56°F,4.0 months,50°F,37°F,46°F,significant,5.3 months,54%,5.3 months,54%,"7 hours, 28 minutes","17 hours, 2 minutes"
106,3.4 months,71°F,79°F,58°F,3.3 months,46°F,24°F,37°F,significant,3.8 months,68%,3.8 months,68%,"8 hours, 34 minutes","15 hours, 50 minutes"
107,2.9 months,78°F,84°F,67°F,3.9 months,59°F,39°F,53°F,significant,2.9 months,83%,2.9 months,83%,"8 hours, 58 minutes","15 hours, 24 minutes"
108,3.4 months,73°F,82°F,63°F,3.3 months,45°F,19°F,35°F,mild,4.4 months,64%,4.4 months,64%,"9 hours, 6 minutes","15 hours, 16 minutes"
109,2.8 months,82°F,88°F,77°F,4.1 months,64°F,50°F,58°F,significant,3.1 months,96%,3.1 months,96%,"9 hours, 30 minutes","14 hours, 50 minutes"
110,2.8 months,64°F,68°F,54°F,4.0 months,49°F,36°F,45°F,significant,5.2 months,52%,5.2 months,52%,"7 hours, 15 minutes","17 hours, 17 minutes"
111,3.4 months,77°F,85°F,67°F,3.2 months,51°F,31°F,42°F,significant,3.1 months,75%,3.1 months,75%,"8 hours, 42 minutes","15 hours, 41 minutes"
112,3.8 months,71°F,81°F,62°F,3.2 months,43°F,25°F,34°F,significant,4.4 months,70%,4.4 months,70%,"8 hours, 21 minutes","16 hours, 4 minutes"
113,2.9 months,78°F,84°F,66°F,3.8 months,58°F,37°F,52°F,significant,2.9 months,81%,2.9 months,81%,"8 hours, 56 minutes","15 hours, 26 minutes"
114,3.2 months,71°F,79°F,58°F,3.6 months,48°F,30°F,42°F,significant,3.4 months,64%,3.4 months,64%,"8 hours, 24 minutes","16 hours, 1 minute"
115,3.2 months,68°F,75°F,58°F,3.7 months,48°F,33°F,42°F,significant,6.7 months,56%,6.7 months,56%,"7 hours, 53 minutes","16 hours, 35 minutes"
116,3.3 months,67°F,75°F,56°F,3.6 months,44°F,25°F,37°F,significant,3.3 months,59%,3.3 months,59%,"8 hours, 21 minutes","16 hours, 4 minutes"
117,3.2 months,67°F,74°F,57°F,3.7 months,47°F,31°F,41°F,significant,6.6 months,56%,6.6 months,56%,"7 hours, 45 minutes","16 hours, 44 minutes"
118,3.1 months,70°F,77°F,57°F,3.6 months,47°F,31°F,42°F,significant,4.9 months,63%,4.9 months,63%,"8 hours, 16 minutes","16 hours, 9 minutes"
119,3.1 months,71°F,77°F,58°F,3.7 months,53°F,37°F,49°F,significant,4.9 months,67%,4.9 months,67%,"8 hours, 29 minutes","15 hours, 56 minutes"
120,2.8 months,80°F,86°F,70°F,4.0 months,61°F,42°F,55°F,significant,3.1 months,90%,3.1 months,90%,"9 hours, 14 minutes","15 hours, 7 minutes"
121,3.4 months,68°F,75°F,57°F,3.8 months,44°F,28°F,38°F,significant,6.5 months,56%,6.5 months,56%,"7 hours, 27 minutes","17 hours, 3 minutes"
122,2.9 months,62°F,66°F,53°F,4.0 months,48°F,35°F,44°F,mild,5.4 months,51%,5.4 months,51%,"7 hours, 10 minutes","17 hours, 22 minutes"
123,2.8 months,76°F,82°F,70°F,4.1 months,60°F,41°F,54°F,significant,2.9 months,82%,2.9 months,82%,"8 hours, 55 minutes","15 hours, 27 minutes"
124,2.9 months,65°F,70°F,55°F,4.0 months,49°F,36°F,44°F,significant,5.5 months,56%,5.5 months,56%,"7 hours, 34 minutes","16 hours, 55 minutes"
125,3.4 months,69°F,77°F,56°F,3.6 months,45°F,27°F,39°F,significant,6.1 months,59%,6.1 months,59%,"8 hours, 9 minutes","16 hours, 17 minutes"
126,3.2 months,70°F,78°F,58°F,3.6 months,47°F,31°F,42°F,significant,3.8 months,62%,3.8 months,62%,"8 hours, 18 minutes","16 hours, 7 minutes"
127,3.2 months,66°F,72°F,55°F,3.8 months,46°F,31°F,40°F,significant,6.4 months,55%,6.4 months,55%,"7 hours, 32 minutes","16 hours, 58 minutes"
128,4.1 months,87°F,92°F,78°F,2.9 months,69°F,47°F,63°F,significant,9.1 months,67%,9.1 months,67%,"10 hours, 13 minutes","14 hours, 5 minutes"
129,3.2 months,67°F,74°F,56°F,3.7 months,46°F,31°F,40°F,significant,6.5 months,55%,6.5 months,55%,"7 hours, 42 minutes","16 hours, 47 minutes"
130,3.5 months,68°F,77°F,56°F,3.5 months,42°F,25°F,34°F,significant,5.6 months,61%,5.6 months,61%,"8 hours, 6 minutes","16 hours, 21 minutes"
131,2.8 months,66°F,72°F,54°F,4.0 months,50°F,35°F,45°F,significant,6.2 months,57%,6.2 months,57%,"7 hours, 47 minutes","16 hours, 41 minutes"
132,3.1 months,67°F,74°F,57°F,3.8 months,47°F,30°F,40°F,significant,6.5 months,55%,6.5 months,55%,"7 hours, 48 minutes","16 hours, 41 minutes"
133,3.2 months,78°F,87°F,67°F,3.3 months,52°F,30°F,43°F,significant,3.1 months,75%,3.1 months,75%,"8 hours, 43 minutes","15 hours, 40 minutes"
134,3.0 months,81°F,87°F,74°F,4.0 months,64°F,48°F,58°F,significant,2.9 months,96%,2.9 months,96%,"9 hours, 31 minutes","14 hours, 49 minutes"
135,2.9 months,81°F,87°F,67°F,4.3 months,64°F,41°F,58°F,significant,2.6 months,90%,2.6 months,90%,"9 hours, 22 minutes","14 hours, 58 minutes"
136,3.0 months,75°F,82°F,59°F,3.7 months,55°F,33°F,49°F,significant,3.2 months,80%,3.2 months,80%,"9 hours, 1 minute","15 hours, 20 minutes"
137,2.9 months,71°F,78°F,59°F,3.7 months,51°F,35°F,45°F,significant,5.2 months,62%,5.2 months,62%,"8 hours, 15 minutes","16 hours, 11 minutes"
138,3.2 months,77°F,86°F,66°F,3.2 months,51°F,31°F,42°F,significant,3.2 months,79%,3.2 months,79%,"8 hours, 47 minutes","15 hours, 36 minutes"
139,3.4 months,80°F,83°F,69°F,2.9 months,74°F,55°F,72°F,significant,6.5 months,68%,6.5 months,68%,"10 hours, 41 minutes","13 hours, 35 minutes"
140,2.9 months,78°F,84°F,68°F,4.0 months,60°F,40°F,54°F,significant,2.8 months,82%,2.8 months,82%,"9 hours, 2 minutes","15 hours, 20 minutes"
141,2.9 months,68°F,76°F,57°F,3.7 months,46°F,28°F,40°F,significant,4.3 months,60%,4.3 months,60%,"8 hours, 15 minutes","16 hours, 11 minutes"
142,3.6 months,74°F,84°F,61°F,3.4 months,46°F,23°F,36°F,significant,3.3 months,83%,3.3 months,83%,"8 hours, 46 minutes","15 hours, 37 minutes"
143,3.4 months,79°F,88°F,64°F,3.5 months,51°F,27°F,42°F,significant,3.4 months,91%,3.4 months,91%,"9 hours, 6 minutes","15 hours, 16 minutes"
144,3.0 months,63°F,67°F,56°F,4.1 months,51°F,39°F,47°F,significant,6.5 months,57%,6.5 months,57%,"8 hours, 1 minute","16 hours, 26 minutes"
145,3.4 months,68°F,76°F,56°F,3.7 months,43°F,26°F,35°F,significant,5.8 months,59%,5.8 months,59%,"8 hours, 7 minutes","16 hours, 20 minutes"
146,3.0 months,72°F,79°F,57°F,3.6 months,52°F,34°F,47°F,significant,4.6 months,69%,4.6 months,69%,"8 hours, 34 minutes","15 hours, 50 minutes"
147,3.9 months,82°F,86°F,70°F,3.0 months,70°F,50°F,66°F,mild,2.7 months,66%,2.7 months,66%,"10 hours, 13 minutes","14 hours, 5 minutes"
148,3.0 months,64°F,69°F,58°F,4.0 months,51°F,39°F,47°F,significant,6.5 months,59%,6.5 months,59%,"7 hours, 57 minutes","16 hours, 31 minutes"
149,3.7 months,71°F,81°F,61°F,3.8 months,39°F,18°F,29°F,significant,5.3 months,77%,5.3 months,77%,"8 hours, 17 minutes","16 hours, 8 minutes"
150,2.8 months,81°F,89°F,66°F,3.7 months,57°F,36°F,50°F,significant,3.6 months,82%,3.6 months,82%,"8 hours, 54 minutes","15 hours, 28 minutes"
151,3.4 months,73°F,82°F,63°F,3.4 months,46°F,28°F,37°F,significant,4.5 months,73%,4.5 months,73%,"8 hours, 38 minutes","15 hours, 46 minutes"
152,3.5 months,68°F,77°F,55°F,3.5 months,44°F,25°F,38°F,significant,5.9 months,60%,5.9 months,60%,"8 hours, 13 minutes","16 hours, 12 minutes"
153,2.9 months,70°F,76°F,56°F,3.7 months,49°F,32°F,44°F,significant,6.5 months,62%,6.5 months,62%,"8 hours, 11 minutes","16 hours, 15 minutes"
154,3.1 months,70°F,76°F,57°F,3.8 months,53°F,36°F,48°F,significant,5.1 months,64%,5.1 months,64%,"8 hours, 21 minutes","16 hours, 4 minutes"
155,3.2 months,68°F,76°F,57°F,3.6 months,46°F,28°F,39°F,significant,3.6 months,61%,3.6 months,61%,"8 hours, 18 minutes","16 hours, 7 minutes"
156,3.4 months,65°F,74°F,56°F,3.9 months,39°F,21°F,31°F,significant,5.9 months,57%,5.9 months,57%,"6 hours, 44 minutes","17 hours, 52 minutes"
157,2.8 months,82°F,89°F,66°F,3.9 months,60°F,37°F,53°F,significant,3.1 months,88%,3.1 months,88%,"9 hours, 8 minutes","15 hours, 14 minutes"
158,3.5 months,68°F,76°F,57°F,3.4 months,44°F,25°F,36°F,significant,3.2 months,58%,3.2 months,58%,"8 hours, 23 minutes","16 hours, 2 minutes"
159,3.1 months,66°F,73°F,57°F,4.0 months,45°F,29°F,38°F,significant,6.5 months,57%,6.5 months,57%,"7 hours, 21 minutes","17 hours, 10 minutes"
160,3.0 months,68°F,74°F,57°F,3.7 months,50°F,35°F,45°F,significant,5.0 months,60%,5.0 months,60%,"8 hours, 10 minutes","16 hours, 17 minutes"
161,3.1 months,68°F,76°F,58°F,3.6 months,46°F,31°F,39°F,significant,6.0 months,61%,6.0 months,61%,"8 hours, 11 minutes","16 hours, 15 minutes"
